code,SppCode,Sex,Number,ch
NMBS,AmeEme,f,300,00001000000
NMBS,BluDas,m,301,00001000000
NMBS,AmeEme,m,302,00001000000
NMBS,ComWhi,m,303,00001000000
CT,ChFCor,m,304,00110000000
CT,HudWhi,f,305,00100000000
CT,HudWhi,f,306,00100000000
CT,DtTWhi,m,307,00100000000
CT,HudWhi,m,308,00100000000
CT,HudWhi,m,309,00100000000
CT,SpaSki,m,310,00100000000
CT,DtTWhi,m,311,00100000000
CT,ComWhi,m,312,00100000000
NCCP,DtTWhi,m,313,00100000000
NCCP,ChFCor,m,314,00100000000
NCCP,ChFCor,f,315,00100000000
NCCP,AmeEme,m,316,00100000000
NCCP,DtTWhi,m,317,00100000000
NCCP,ChFCor,m,318,00100000000
NCCP,AmeEme,m,319,00100000000
NCCP,AmeEme,m,320,00100000000
NCCP,DtTWhi,m,321,00100000000
NCCP,ChFCor,m,322,00100000000
NCCP,AmeEme,m,323,00100000000
NCCP,AmeEme,m,324,00100000000
NCCP,AmeEme,m,325,00100000000
NCCP,AmeEme,m,326,00100000000
NCCP,ChFCor,m,327,00100000000
NCCP,AmeEme,m,328,00100000000
NCCP,ChFCor,m,329,00100000000
NCCP,ChFCor,m,330,00100000000
NCCP,AmeEme,m,331,00100000000
NCCP,ChFCor,m,332,00100000000
NCCP,AmeEme,m,333,00100000000
NCCP,AmeEme,m,334,00100000000
NCCP,AmeEme,m,335,00100000000
NCCP,AmeEme,m,336,00100000000
NCCP,AmeEme,m,337,00100000000
NCCP,ChFCor,m,338,00100000000
NCCP,UniClu,m,339,00100000000
NCCP,ChFCor,m,340,00100000000
NCCP,ChFCor,m,341,00100000000
NCCP,AmeEme,m,342,00100000000
NCCB,DtTWhi,m,343,00100000000
NCCB,DtTWhi,m,344,00100000000
NCCB,DtTWhi,m,345,00100000000
NCCB,ChFCor,m,346,00100000000
NCCB,DtTWhi,m,347,00100000000
NCCB,ChFCor,m,348,00100000000
NCCB,UniClu,m,349,00100000000
NMPN,PaiSki,m,350,00010000000
NMPN,PaiSki,m,351,00010000000
NMBN,ChFCor,m,352,01000000000
NMBN,HudWhi,m,353,01000000000
NMBN,AmeEme,m,354,01000000000
NMBN,ComBas,m,355,01000000000
NMBS,AmeEme,m,356,00000100000
NMBS,CrRWhi,m,357,00000100000
NMBS,ChFCor,m,358,00000100000
NMBS,ChFCor,m,359,00000100000
NMBS,ChFCor,m,360,00000100000
NMBS,CrRWhi,m,361,00000100000
NMBS,ChFCor,m,362,00000100000
NMBS,CrRWhi,m,363,00000100000
NMBS,CrRWhi,m,364,00000100000
NMBS,ChFCor,m,365,00000100000
NMBS,ComWhi,m,366,00000100000
NMBS,CrRWhi,m,367,00000100000
NMBS,ChFCor,m,368,00000100000
NMBS,ChFCor,m,369,00000100000
NMBS,AmeEme,m,370,00000100000
NMBS,ChFCor,m,371,00000100000
NMBS,AmeEme,m,372,00000100000
NMBS,AmeEme,m,373,00000100000
NMBS,CrRWhi,f,374,00000100000
NMBS,AmeEme,m,375,00000100000
NMBS,AmeEme,m,376,00000100000
NMBS,CrRWhi,m,377,00000100000
NMBS,AmeEme,m,378,00000100000
NMBS,AmeEme,m,379,00000100000
NMBS,AmeEme,m,380,00000100000
NMBS,ChFCor,m,381,00000100000
NMBS,ChFCor,m,382,00000100000
NMBS,CrRWhi,m,383,00000100000
NMBS,ChFCor,m,384,00000100000
NMBS,PaiSki,m,385,00000100000
NMBS,ChFCor,m,386,00000100000
NMBS,CrRWhi,m,387,00000100000
NMBS,ChFCor,m,388,00000100000
NMBS,AmeEme,m,389,00000100000
NMBS,ChFCor,m,390,00000100000
NMBS,ChFCor,m,391,00000100000
NMBS,ChFCor,m,392,00000100000
NMBS,PaiSki,m,393,00000100000
NMBS,DeSSpi,m,394,00000100000
NMBS,PaiSki,m,395,00000100000
NMBS,AmeEme,m,396,00000100000
NMBS,CrRWhi,m,397,00000100000
NMBS,CrRWhi,m,398,00000100010
NMBS,CrRWhi,f,399,00000100000
NMBS,HudWhi,m,400,00000100000
NMBS,CrRWhi,f,401,00000100000
NMBS,CrRWhi,m,402,00000100000
NMBS,ChFCor,m,403,00000100000
CLSA,ChFCor,m,404,01000000000
CLSA,ChFCor,m,405,01000000000
CLSA,ChFCor,m,406,01000000000
CLSA,ChFCor,m,407,01000000000
CLSA,ComWhi,m,408,01000000000
HB,CrRWhi,m,409,00001000000
HB,ComWhi,m,410,00001000000
HB,ChFCor,m,411,00001000000
