location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,
NCCP,ChFCor,m,175,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,176,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,177,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,178,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,DtTWhi,m,179,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,180,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,181,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,182,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,f,183,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,184,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,185,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,186,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ComBas,m,187,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCB,DtTWhi,m,188,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCB,DtTWhi,m,189,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCB,DtTWhi,m,190,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
CT,ChFCor,m,191,4-Jun-18,0,1,1,0,0,0,0,0,0,0,0,
CLSA,CrRWhi,m,192,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,192,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
CLSA,PaiSki,m,193,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0,
CLSA,ChFCor,m,194,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0,
HB,AmeEme,m,195,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,196,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,197,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,198,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,f,199,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,200,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,f,201,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,202,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,203,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,f,204,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,205,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,f,206,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,207,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,208,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,209,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,ChFCor,f,210,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,212,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,f,213,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,215,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
