Location,SppCode,Sex,Number,Date
NMBS,ChFCor,m,265,9-Jun-18
NMBS,ChFCor,m,265,15-Jun-18
NMBS,DeSSpi,m,266,9-Jun-18
NMBS,AmeEme,m,267,9-Jun-18
NMBS,ChFCor,m,268,9-Jun-18
NMBS,AmeEme,m,269,9-Jun-18
NMBS,CGrDar,m,270,9-Jun-18
NMBS,ChFCor,m,271,9-Jun-18
NMBS,AmeEme,m,272,9-Jun-18
NMBS,AmeEme,m,273,9-Jun-18
NMBS,CrRWhi,m,274,9-Jun-18
NMBS,PaiSki,m,275,9-Jun-18
NMBS,AmeEme,m,276,9-Jun-18
NMBS,CrRWhi,m,277,9-Jun-18
NMBS,ChFCor,m,278,9-Jun-18
NMBS,ChFCor,m,278,15-Jun-18
NMBS,CrRWhi,m,279,9-Jun-18
NMBS,AmeEme,m,280,9-Jun-18
NMBS,PaiSki,m,281,9-Jun-18
NMBS,PaiSki,m,282,9-Jun-18
NMBS,UniClu,m,283,9-Jun-18
NMBS,CarSad,f,284,9-Jun-18
NMBS,CarSad,m,285,9-Jun-18
NMBS,CrRWhi,m,286,9-Jun-18
NMBS,ChFCor,m,287,9-Jun-18
NMBS,CrRWhi,m,288,9-Jun-18
NMBS,CrRWhi,m,289,9-Jun-18
NMBS,HudWhi,m,290,9-Jun-18
NMBS,HudWhi,m,290,15-Jun-18
NMBS,PaiSki,m,291,9-Jun-18
NMBS,LanClu,m,292,9-Jun-18
NMBS,CrRWhi,m,293,9-Jun-18
NMBS,ChFCor,m,294,9-Jun-18
NMBS,AmeEme,m,295,9-Jun-18
NMBS,AmeEme,m,296,9-Jun-18
NMBS,AmeEme,m,297,9-Jun-18
NMBS,ChFCor,m,298,9-Jun-18
NMBS,ChFCor,m,298,15-Jun-18
NMBS,AmeEme,m,299,9-Jun-18
NMBS,AmeEme,f,300,9-Jun-18
NMBS,BluDas,m,301,9-Jun-18
NMBS,AmeEme,m,302,9-Jun-18
NMBS,ComWhi,m,303,9-Jun-18
CT,ChFCor,m,304,12-Jun-18
CT,ChFCor,m,304,18-Jun-18
CT,HudWhi,f,305,12-Jun-18
CT,HudWhi,f,306,12-Jun-18
CT,DtTWhi,m,307,12-Jun-18
CT,HudWhi,m,308,12-Jun-18
CT,HudWhi,m,309,12-Jun-18
CT,SpaSki,m,310,12-Jun-18
CT,DtTWhi,m,311,12-Jun-18
CT,ComWhi,m,312,12-Jun-18
NCCP,DtTWhi,m,313,14-Jun-18
NCCP,ChFCor,m,314,14-Jun-18
NCCP,ChFCor,f,315,14-Jun-18
NCCP,AmeEme,m,316,14-Jun-18
NCCP,DtTWhi,m,317,14-Jun-18
NCCP,ChFCor,m,318,14-Jun-18
NCCP,AmeEme,m,319,14-Jun-18
NCCP,AmeEme,m,320,14-Jun-18
NCCP,DtTWhi,m,321,14-Jun-18
NCCP,ChFCor,m,322,14-Jun-18
NCCP,AmeEme,m,323,14-Jun-18
NCCP,AmeEme,m,324,14-Jun-18
NCCP,AmeEme,m,325,14-Jun-18
NCCP,AmeEme,m,326,14-Jun-18
NCCP,ChFCor,m,327,14-Jun-18
NCCP,AmeEme,m,328,14-Jun-18
NCCP,ChFCor,m,329,14-Jun-18
NCCP,ChFCor,m,330,14-Jun-18
NCCP,AmeEme,m,331,14-Jun-18
NCCP,ChFCor,m,332,14-Jun-18
NCCP,AmeEme,m,333,14-Jun-18
NCCP,AmeEme,m,334,14-Jun-18
